Section,Sub Section,Content,Content Token Count
1.2 - The Kubernetes API,OpenAPI V2,"OpenAPI V2 The Kubernetes API server serves an aggregated OpenAPI v2 spec via the/openapi/v2 endpoint. You can request the response format usingrequest headers as follows: Valid request header values for OpenAPI v2 queriesHeaderPossible valuesNotesAccept-Encodinggzipnot supplying this header is also acceptableAcceptapplication/com.github.proto-openapi.spec.v2@v1.0+protobufmainly for intra-cluster useapplication/jsondefault*serves application/json Kubernetes implements an alternative Protobuf based serialization format thatis primarily intended for intra-cluster communication. For more informationabout this format, see the Kubernetes Protobuf serialization design proposal and theInterface Definition Language (IDL) files for each schema located in the Gopackages that define the API objects.",187
1.2 - The Kubernetes API,OpenAPI V3,"OpenAPI V3 FEATURE STATE: Kubernetes v1.24 [beta] Kubernetes v1.26 offers beta support for publishing its APIs as OpenAPI v3; this is abeta feature that is enabled by default.You can disable the beta feature by turning off thefeature gate named OpenAPIV3for the kube-apiserver component. A discovery endpoint /openapi/v3 is provided to see a list of allgroup/versions available. This endpoint only returns JSON. These group/versionsare provided in the following format: {    ""paths"": {        ...,        ""api/v1"": {            ""serverRelativeURL"": ""/openapi/v3/api/v1?hash=CC0E9BFD992D8C59AEC98A1E2336F899E8318D3CF4C68944C3DEC640AF5AB52D864AC50DAA8D145B3494F75FA3CFF939FCBDDA431DAD3CA79738B297795818CF""        },        ""apis/admissionregistration.k8s.io/v1"": {            ""serverRelativeURL"": ""/openapi/v3/apis/admissionregistration.k8s.io/v1?hash=E19CC93A116982CE5422FC42B590A8AFAD92CDE9AE4D59B5CAAD568F083AD07946E6CB5817531680BCE6E215C16973CD39003B0425F3477CFD854E89A9DB6597""        },        ....    }} The relative URLs are pointing to immutable OpenAPI descriptions, inorder to improve client-side caching. The proper HTTP caching headersare also set by the API server for that purpose (Expires to 1 year inthe future, and Cache-Control to immutable). When an obsolete URL isused, the API server returns a redirect to the newest URL. The Kubernetes API server publishes an OpenAPI v3 spec per Kubernetesgroup version at the /openapi/v3/apis/<group>/<version>?hash=<hash>endpoint. Refer to the table below for accepted request headers. Valid request header values for OpenAPI v3 queriesHeaderPossible valuesNotesAccept-Encodinggzipnot supplying this header is also acceptableAcceptapplication/com.github.proto-openapi.spec.v3@v1.0+protobufmainly for intra-cluster useapplication/jsondefault*serves application/json",571
1.2 - The Kubernetes API,API groups and versioning,"API groups and versioning To make it easier to eliminate fields or restructure resource representations,Kubernetes supports multiple API versions, each at a different API path, suchas /api/v1 or /apis/rbac.authorization.k8s.io/v1alpha1. Versioning is done at the API level rather than at the resource or field levelto ensure that the API presents a clear, consistent view of system resourcesand behavior, and to enable controlling access to end-of-life and/orexperimental APIs. To make it easier to evolve and to extend its API, Kubernetes implementsAPI groups that can beenabled or disabled. API resources are distinguished by their API group, resource type, namespace(for namespaced resources), and name. The API server handles the conversion betweenAPI versions transparently: all the different versions are actually representationsof the same persisted data. The API server may serve the same underlying datathrough multiple API versions. For example, suppose there are two API versions, v1 and v1beta1, for the sameresource. If you originally created an object using the v1beta1 version of itsAPI, you can later read, update, or delete that object using either the v1beta1or the v1 API version, until the v1beta1 version is deprecated and removed.At that point you can continue accessing and modifying the object using the v1 API.",298
1.2 - The Kubernetes API,API changes,"API changes Any system that is successful needs to grow and change as new use cases emerge or existing ones change.Therefore, Kubernetes has designed the Kubernetes API to continuously change and grow.The Kubernetes project aims to not break compatibility with existing clients, and to maintain thatcompatibility for a length of time so that other projects have an opportunity to adapt. In general, new API resources and new resource fields can be added often and frequently.Elimination of resources or fields requires following theAPI deprecation policy. Kubernetes makes a strong commitment to maintain compatibility for official Kubernetes APIsonce they reach general availability (GA), typically at API version v1. Additionally,Kubernetes maintains compatibility with data persisted via beta API versions of official Kubernetes APIs,and ensures that data can be converted and accessed via GA API versions when the feature goes stable. If you adopt a beta API version, you will need to transition to a subsequent beta or stable API versiononce the API graduates. The best time to do this is while the beta API is in its deprecation period,since objects are simultaneously accessible via both API versions. Once the beta API completes itsdeprecation period and is no longer served, the replacement API version must be used. Note: Although Kubernetes also aims to maintain compatibility for alpha APIs versions, in somecircumstances this is not possible. If you use any alpha API versions, check the release notesfor Kubernetes when upgrading your cluster, in case the API did change in incompatibleways that require deleting all existing alpha objects prior to upgrade. Refer to API versions referencefor more details on the API version level definitions.",351
1.2 - The Kubernetes API,API Extension,"API Extension The Kubernetes API can be extended in one of two ways: Custom resourceslet you declaratively define how the API server should provide your chosen resource API.You can also extend the Kubernetes API by implementing anaggregation layer. Learn how to extend the Kubernetes API by adding your ownCustomResourceDefinition.Controlling Access To The Kubernetes API describeshow the cluster manages authentication and authorization for API access.Learn about API endpoints, resource types and samples by readingAPI Reference.Learn about what constitutes a compatible change, and how to change the API, fromAPI changes.",127
1.3 - Working with Kubernetes Objects,default,Kubernetes objects are persistent entities in the Kubernetes system. Kubernetes uses these entities to represent the state of your cluster. Learn about the Kubernetes object model and how to work with these objects.,48
1.3.1 - Understanding Kubernetes Objects,Understanding Kubernetes objects,"Understanding Kubernetes objects Kubernetes objects are persistent entities in the Kubernetes system. Kubernetes uses theseentities to represent the state of your cluster. Specifically, they can describe: What containerized applications are running (and on which nodes)The resources available to those applicationsThe policies around how those applications behave, such as restart policies, upgrades, and fault-tolerance A Kubernetes object is a ""record of intent""--once you create the object, the Kubernetes systemwill constantly work to ensure that object exists. By creating an object, you're effectivelytelling the Kubernetes system what you want your cluster's workload to look like; this is yourcluster's desired state. To work with Kubernetes objects--whether to create, modify, or delete them--you'll need to use theKubernetes API. When you use the kubectl command-lineinterface, for example, the CLI makes the necessary Kubernetes API calls for you. You can also usethe Kubernetes API directly in your own programs using one of theClient Libraries.",235
1.3.1 - Understanding Kubernetes Objects,Object spec and status,"Object spec and status Almost every Kubernetes object includes two nested object fields that governthe object's configuration: the object spec and the object status.For objects that have a spec, you have to set this when you create the object,providing a description of the characteristics you want the resource to have:its desired state. The status describes the current state of the object, supplied and updatedby the Kubernetes system and its components. The Kubernetescontrol plane continuallyand actively manages every object's actual state to match the desired state yousupplied. For example: in Kubernetes, a Deployment is an object that can represent anapplication running on your cluster. When you create the Deployment, youmight set the Deployment spec to specify that you want three replicas ofthe application to be running. The Kubernetes system reads the Deploymentspec and starts three instances of your desired application--updatingthe status to match your spec. If any of those instances should fail(a status change), the Kubernetes system responds to the differencebetween spec and status by making a correction--in this case, startinga replacement instance. For more information on the object spec, status, and metadata, see theKubernetes API Conventions.",264
1.3.1 - Understanding Kubernetes Objects,Describing a Kubernetes object,"Describing a Kubernetes object When you create an object in Kubernetes, you must provide the object spec that describes itsdesired state, as well as some basic information about the object (such as a name). When you usethe Kubernetes API to create the object (either directly or via kubectl), that API request mustinclude that information as JSON in the request body. Most often, you provide the information tokubectl in a .yaml file. kubectl converts the information to JSON when making the APIrequest. Here's an example .yaml file that shows the required fields and object spec for a Kubernetes Deployment: application/deployment.yamlapiVersion: apps/v1kind: Deploymentmetadata:  name: nginx-deploymentspec:  selector:    matchLabels:      app: nginx  replicas: 2 # tells deployment to run 2 pods matching the template  template:    metadata:      labels:        app: nginx    spec:      containers:      - name: nginx        image: nginx:1.14.2        ports:        - containerPort: 80 One way to create a Deployment using a .yaml file like the one above is to use thekubectl apply commandin the kubectl command-line interface, passing the .yaml file as an argument. Here's an example: kubectl apply -f https://k8s.io/examples/application/deployment.yaml The output is similar to this: deployment.apps/nginx-deployment created",346
1.3.1 - Understanding Kubernetes Objects,Required fields,"Required fields In the .yaml file for the Kubernetes object you want to create, you'll need to set values for the following fields: apiVersion - Which version of the Kubernetes API you're using to create this objectkind - What kind of object you want to createmetadata - Data that helps uniquely identify the object, including a name string, UID, and optional namespacespec - What state you desire for the object The precise format of the object spec is different for every Kubernetes object, and containsnested fields specific to that object. The Kubernetes API Referencecan help you find the spec format for all of the objects you can create using Kubernetes. For example, see the spec fieldfor the Pod API reference.For each Pod, the .spec field specifies the pod and its desired state (such as the container image name foreach container within that pod).Another example of an object specification is thespec fieldfor the StatefulSet API. For StatefulSet, the .spec field specifies the StatefulSet andits desired state.Within the .spec of a StatefulSet is a templatefor Pod objects. That template describes Pods that the StatefulSet controller will create in order tosatisfy the StatefulSet specification.Different kinds of object can also have different .status; again, the API reference pagesdetail the structure of that .status field, and its content for each different type of object. Learn more about the following: Pods which are the most important basic Kubernetes objects.Deployment objects.Controllers in Kubernetes.Kubernetes API overview which explains some more API concepts.kubectl and kubectl commands.",357
1.3.2 - Kubernetes Object Management,default,The kubectl command-line tool supports several different ways to create and manageKubernetes objects. This document provides an overview of the differentapproaches. Read the Kubectl book fordetails of managing objects by Kubectl.,50
1.3.2 - Kubernetes Object Management,Management techniques,Management techniques Warning: A Kubernetes object should be managed using only one technique. Mixingand matching techniques for the same object results in undefined behavior. Management techniqueOperates onRecommended environmentSupported writersLearning curveImperative commandsLive objectsDevelopment projects1+LowestImperative object configurationIndividual filesProduction projects1ModerateDeclarative object configurationDirectories of filesProduction projects1+Highest,82
1.3.2 - Kubernetes Object Management,Imperative commands,"Imperative commands When using imperative commands, a user operates directly on live objectsin a cluster. The user provides operations tothe kubectl command as arguments or flags. This is the recommended way to get started or to run a one-off task ina cluster. Because this technique operates directly on liveobjects, it provides no history of previous configurations.",73
1.3.2 - Kubernetes Object Management,Examples,"Examples Run an instance of the nginx container by creating a Deployment object: kubectl create deployment nginx --image nginx Examples Create the objects defined in a configuration file: kubectl create -f nginx.yaml Delete the objects defined in two configuration files: kubectl delete -f nginx.yaml -f redis.yaml Update the objects defined in a configuration file by overwritingthe live configuration: kubectl replace -f nginx.yaml Examples Process all object configuration files in the configs directory, and create orpatch the live objects. You can first diff to see what changes are going to bemade, and then apply: kubectl diff -f configs/kubectl apply -f configs/ Recursively process directories: kubectl diff -R -f configs/kubectl apply -R -f configs/",194
1.3.2 - Kubernetes Object Management,Trade-offs,"Trade-offs Advantages compared to object configuration: Commands are expressed as a single action word.Commands require only a single step to make changes to the cluster. Disadvantages compared to object configuration: Commands do not integrate with change review processes.Commands do not provide an audit trail associated with changes.Commands do not provide a source of records except for what is live.Commands do not provide a template for creating new objects. Trade-offs Advantages compared to imperative commands: Object configuration can be stored in a source control system such as Git.Object configuration can integrate with processes such as reviewing changes before push and audit trails.Object configuration provides a template for creating new objects. Disadvantages compared to imperative commands: Object configuration requires basic understanding of the object schema.Object configuration requires the additional step of writing a YAML file. Advantages compared to declarative object configuration: Imperative object configuration behavior is simpler and easier to understand.As of Kubernetes version 1.5, imperative object configuration is more mature. Disadvantages compared to declarative object configuration: Imperative object configuration works best on files, not directories.Updates to live objects must be reflected in configuration files, or they will be lost during the next replacement. Trade-offs Advantages compared to imperative object configuration: Changes made directly to live objects are retained, even if they are not merged back into the configuration files.Declarative object configuration has better support for operating on directories and automatically detecting operation types (create, patch, delete) per-object. Disadvantages compared to imperative object configuration: Declarative object configuration is harder to debug and understand results when they are unexpected.Partial updates using diffs create complex merge and patch operations. Managing Kubernetes Objects Using Imperative CommandsImperative Management of Kubernetes Objects Using Configuration FilesDeclarative Management of Kubernetes Objects Using Configuration FilesDeclarative Management of Kubernetes Objects Using KustomizeKubectl Command ReferenceKubectl BookKubernetes API Reference",426
1.3.2 - Kubernetes Object Management,Imperative object configuration,"Imperative object configuration In imperative object configuration, the kubectl command specifies theoperation (create, replace, etc.), optional flags and at least one filename. The file specified must contain a full definition of the objectin YAML or JSON format. See the API referencefor more details on object definitions. Warning: The imperative replace command replaces the existingspec with the newly provided one, dropping all changes to the object missing fromthe configuration file. This approach should not be used with resourcetypes whose specs are updated independently of the configuration file.Services of type LoadBalancer, for example, have their externalIPs field updatedindependently from the configuration by the cluster.",142
1.3.2 - Kubernetes Object Management,Declarative object configuration,"Declarative object configuration When using declarative object configuration, a user operates on objectconfiguration files stored locally, however the user does not define theoperations to be taken on the files. Create, update, and delete operationsare automatically detected per-object by kubectl. This enables working ondirectories, where different operations might be needed for different objects. Note: Declarative object configuration retains changes made by otherwriters, even if the changes are not merged back to the object configuration file.This is possible by using the patch API operation to write onlyobserved differences, instead of using the replaceAPI operation to replace the entire object configuration.",134
1.3.3 - Object Names and IDs,default,"Each object in your cluster has a Name that is unique for that type of resource.Every Kubernetes object also has a UID that is unique across your whole cluster. For example, you can only have one Pod named myapp-1234 within the same namespace, but you can have one Pod and one Deployment that are each named myapp-1234. For non-unique user-provided attributes, Kubernetes provides labels and annotations.",93
1.3.3 - Object Names and IDs,Names,"Names A client-provided string that refers to an object in a resource URL, such as /api/v1/pods/some-name. Only one object of a given kind can have a given name at a time. However, if you delete the object, you can make a new object with the same name. Note: In cases when objects represent a physical entity, like a Node representing a physical host, when the host is re-created under the same name without deleting and re-creating the Node, Kubernetes treats the new host as the old one, which may lead to inconsistencies. Below are four types of commonly used name constraints for resources.",137
1.3.3 - Object Names and IDs,DNS Subdomain Names,"DNS Subdomain Names Most resource types require a name that can be used as a DNS subdomain nameas defined in RFC 1123.This means the name must: contain no more than 253 characterscontain only lowercase alphanumeric characters, '-' or '.'start with an alphanumeric characterend with an alphanumeric character",70
1.3.3 - Object Names and IDs,RFC 1123 Label Names,RFC 1123 Label Names Some resource types require their names to follow the DNSlabel standard as defined in RFC 1123.This means the name must: contain at most 63 characterscontain only lowercase alphanumeric characters or '-'start with an alphanumeric characterend with an alphanumeric character,62
1.3.3 - Object Names and IDs,RFC 1035 Label Names,RFC 1035 Label Names Some resource types require their names to follow the DNSlabel standard as defined in RFC 1035.This means the name must: contain at most 63 characterscontain only lowercase alphanumeric characters or '-'start with an alphabetic characterend with an alphanumeric character,62
1.3.3 - Object Names and IDs,Path Segment Names,"Path Segment Names Some resource types require their names to be able to be safely encoded as apath segment. In other words, the name may not be ""."" or "".."" and the name maynot contain ""/"" or ""%"". Here's an example manifest for a Pod named nginx-demo. apiVersion: v1kind: Podmetadata:  name: nginx-demospec:  containers:  - name: nginx    image: nginx:1.14.2    ports:    - containerPort: 80 Note: Some resource types have additional restrictions on their names.",124
1.3.3 - Object Names and IDs,UIDs,UIDs A Kubernetes systems-generated string to uniquely identify objects. Every object created over the whole lifetime of a Kubernetes cluster has a distinct UID. It is intended to distinguish between historical occurrences of similar entities. Kubernetes UIDs are universally unique identifiers (also known as UUIDs).UUIDs are standardized as ISO/IEC 9834-8 and as ITU-T X.667. Read about labels and annotations in Kubernetes.See the Identifiers and Names in Kubernetes design document.,114
1.3.4 - Labels and Selectors,default,"Labels are key/value pairs that are attached to objects, such as pods.Labels are intended to be used to specify identifying attributes of objectsthat are meaningful and relevant to users, but do not directly imply semanticsto the core system. Labels can be used to organize and to select subsets ofobjects. Labels can be attached to objects at creation time and subsequentlyadded and modified at any time. Each object can have a set of key/value labelsdefined. Each Key must be unique for a given object. ""metadata"": {  ""labels"": {    ""key1"" : ""value1"",    ""key2"" : ""value2""  }} Labels allow for efficient queries and watches and are ideal for use in UIsand CLIs. Non-identifying information should be recorded usingannotations.",172
1.3.4 - Labels and Selectors,Motivation,"Motivation Labels enable users to map their own organizational structures onto system objectsin a loosely coupled fashion, without requiring clients to store these mappings. Service deployments and batch processing pipelines are often multi-dimensional entities(e.g., multiple partitions or deployments, multiple release tracks, multiple tiers,multiple micro-services per tier). Management often requires cross-cutting operations,which breaks encapsulation of strictly hierarchical representations, especially rigidhierarchies determined by the infrastructure rather than by users. Example labels: ""release"" : ""stable"", ""release"" : ""canary""""environment"" : ""dev"", ""environment"" : ""qa"", ""environment"" : ""production""""tier"" : ""frontend"", ""tier"" : ""backend"", ""tier"" : ""cache""""partition"" : ""customerA"", ""partition"" : ""customerB""""track"" : ""daily"", ""track"" : ""weekly"" These are examples ofcommonly used labels;you are free to develop your own conventions.Keep in mind that label Key must be unique for a given object.",222
1.3.4 - Labels and Selectors,Syntax and character set,"Syntax and character set Labels are key/value pairs. Valid label keys have two segments: an optionalprefix and name, separated by a slash (/). The name segment is required andmust be 63 characters or less, beginning and ending with an alphanumericcharacter ([a-z0-9A-Z]) with dashes (-), underscores (_), dots (.),and alphanumerics between. The prefix is optional. If specified, the prefixmust be a DNS subdomain: a series of DNS labels separated by dots (.),not longer than 253 characters in total, followed by a slash (/). If the prefix is omitted, the label Key is presumed to be private to the user.Automated system components (e.g. kube-scheduler, kube-controller-manager,kube-apiserver, kubectl, or other third-party automation) which add labelsto end-user objects must specify a prefix. The kubernetes.io/ and k8s.io/ prefixes arereserved for Kubernetes core components. Valid label value: must be 63 characters or less (can be empty),unless empty, must begin and end with an alphanumeric character ([a-z0-9A-Z]),could contain dashes (-), underscores (_), dots (.), and alphanumerics between. For example, here's the configuration file for a Pod that has two labelsenvironment: production and app: nginx: apiVersion: v1kind: Podmetadata:  name: label-demo  labels:    environment: production    app: nginxspec:  containers:  - name: nginx    image: nginx:1.14.2    ports:    - containerPort: 80",368
